,Assessor,weighted av. score,VJ deviation,NU deviation,DF deviation,GT deviation,JR deviation,OA deviation,AV deviation,CJ deviation,DT deviation,JO deviation,JH deviation,SU deviation,GDD deviation,PP deviation,OU deviation,MiM deviation,AR deviation,VP deviation,LdB deviation,EM deviation
358,z_assessor_806,0.5294117647058824,-0.5294117647058824,-0.5294117647058824,-0.5294117647058824,2.4705882352941178,-0.5294117647058824,0.47058823529411764,-0.5294117647058824,,,,,,0.47058823529411764,-0.5294117647058824,0.47058823529411764,-0.5294117647058824,,,,-0.5294117647058824
359,z_assessor_807,0.6666666666666667,0.33333333333333326,-0.6666666666666667,-0.6666666666666667,2.333333333333333,-0.6666666666666667,0.33333333333333326,0.33333333333333326,-0.6666666666666667,,,,,0.33333333333333326,0.33333333333333326,0.33333333333333326,-0.6666666666666667,,,,
360,z_assessor_808,0.8616071428571428,0.13839285714285715,-0.8616071428571428,-0.8616071428571428,2.138392857142857,-0.8616071428571428,0.13839285714285715,0.13839285714285715,-0.8616071428571428,0.0625,,,,0.13839285714285715,0.13839285714285715,0.13839285714285715,,,,,
361,z_assessor_809,0.8999936615671911,0.10000633843280901,-0.319993661567191,-0.8999936615671911,1.700006338432809,-0.699993661567191,0.10000633843280901,0.020006338432809016,-0.27203930480074273,-0.14770349316197065,,,-0.0486373716153128,0.08000633843280902,-0.10442752100840338,0.1557071931336637,-0.7857142857142857,,-0.4718954248366013,,0.1482999843293961
362,z_assessor_810,0.6923076923076923,0.3076923076923077,0.3076923076923077,-0.6923076923076923,0.3076923076923077,-0.6923076923076923,0.3076923076923077,0.3076923076923077,,,,,,0.3076923076923077,,0.3076923076923077,,,,,
363,z_assessor_811,2.0014071478561175,0.37790319697146857,-0.7945105961319797,-1.070372665097497,0.37790319697146857,-0.3117519754423245,-0.966924389235428,-1.0014071478561177,0.8665997783128846,0.7154225432863203,,,0.14324045407636737,-0.2427864582009452,0.5005096126932849,1.0,-0.5015479876160991,,0.8625386996904025,-0.46620457393483705,0.8199711682918781
364,z_assessor_812,0.5792012436786907,0.1480714835940365,0.057162392684945586,-0.5792012436786907,1.4207987563213094,-0.21556488004232713,0.4207987563213092,-0.5014070823322742,-0.5377777777777778,-0.17486638397124332,,,-0.2713768115942029,0.1480714835940365,-0.09561026936026938,0.48287863195344005,-0.30140708233227415,,0.0492753623188406,-0.5007246376811594,-0.32921421005819984
365,z_assessor_813,0.25,-0.25,-0.25,-0.25,0.75,-0.25,0.75,-0.25,,-0.25,,,-0.25,0.75,-0.25,-0.25,-0.25,,,0.75,-0.25
366,z_assessor_814,0.2801724137931034,-0.2801724137931034,-0.2801724137931034,-0.2801724137931034,2.719827586206897,-0.2801724137931034,0.7198275862068966,-0.2801724137931034,-0.25,0.21982758620689657,,,-0.2801724137931034,-0.2801724137931034,-0.2801724137931034,0.21982758620689655,-0.2801724137931034,,,,-0.2801724137931034
367,z_assessor_815,0.47368421052631576,0.5263157894736843,-0.47368421052631576,-0.47368421052631576,2.526315789473684,-0.47368421052631576,0.5263157894736843,-0.47368421052631576,-0.47368421052631576,-0.47368421052631576,,,,0.5263157894736843,-0.47368421052631576,-0.47368421052631576,-0.47368421052631576,,,,-0.47368421052631576
368,z_assessor_816,1.1049183006535948,-0.1549183006535948,0.04508169934640521,-1.1049183006535948,1.6950816993464053,-0.6549183006535948,-0.1549183006535948,-0.2049183006535948,-0.08158051099227571,0.6301470588235294,,,-0.1625000000000001,-0.054918300653594786,-0.14505347593582887,-0.12682189542483663,-0.1003921568627451,,,,0.04508169934640521
369,z_assessor_817,1.1333333333333333,-0.1333333333333333,-0.1333333333333333,-1.1333333333333333,1.8666666666666667,-0.1333333333333333,-0.1333333333333333,-0.1333333333333333,-0.1333333333333333,-0.1333333333333333,,,,-0.1333333333333333,,,-0.1333333333333333,,,,
370,z_assessor_818,0.40535777151909874,-0.23869110485243208,0.2613088951475679,-0.40535777151909874,0.42797556181423463,0.9279755618142346,0.09464222848090124,-0.07202443818576541,-0.2625,-0.40535777151909874,,,-0.11397641260341489,-0.07202443818576541,0.3032608695652174,0.686371237458194,-0.2614293258229185,,,-0.2614293258229185,
371,z_assessor_819,1.0968926031951243,0.18882168251916148,-0.38260688890940997,-0.9540354603379814,1.3316788253763043,0.4745359682334472,-0.38260688890940997,-0.2397497460522671,0.10897435897435888,1.3325791855203621,,,-0.2967032967032967,-0.09689260319512423,-0.016968325791855234,-0.4117647058823528,-0.3791208791208791,,-0.08333333333333348,,1.333333333333333
372,z_assessor_820,0.8571428571428572,0.1428571428571428,0.1428571428571428,-0.8571428571428572,2.142857142857143,-0.8571428571428572,0.1428571428571428,0.1428571428571428,-0.8571428571428572,-0.8571428571428572,,,,0.1428571428571428,0.1428571428571428,,0.1428571428571428,,,,
373,z_assessor_821,0.21003134796238243,-0.21003134796238243,-0.21003134796238243,-0.21003134796238243,2.7899686520376172,-0.21003134796238243,0.7899686520376176,-0.21003134796238243,,-0.22413793103448276,,-0.18181818181818182,-0.21003134796238243,-0.21003134796238243,-0.21003134796238243,-0.21003134796238243,-0.21003134796238243,,,-0.18181818181818182,-0.21003134796238243
374,z_assessor_822,0.4893245795648542,0.3106754204351458,-0.08932457956485418,-0.4893245795648542,1.7106754204351458,-0.4893245795648542,0.5106754204351458,-0.3893245795648542,-0.4778286295448767,-0.3140366768370201,,,0.2963768115942029,0.2106754204351458,0.02162471395881005,0.5526299898296466,-0.4390366768370201,-0.4893245795648542,0.16922741636700447,0.7391304347826086,-0.4644736842105263
375,z_assessor_823,1.0769230769230769,-0.07692307692307687,-0.07692307692307687,-1.0769230769230769,1.9230769230769231,-0.07692307692307687,-0.07692307692307687,-0.07692307692307687,,-0.07692307692307687,,,,-0.07692307692307687,-0.07692307692307687,,-0.07692307692307687,,,,
376,z_assessor_824,0.9117647058823529,0.08823529411764708,0.08823529411764708,-0.9117647058823529,2.088235294117647,-0.9117647058823529,0.08823529411764708,0.08823529411764708,-0.7647058823529411,-1.0588235294117647,,,-0.7647058823529411,0.08823529411764708,0.08823529411764708,0.08823529411764708,-0.05882352941176472,,,,
